,DOLCH,,Phonics Basic,,Phonics/Minimal Pairs
,LIST 1,,A,,A
,the,,blab,,black
,to,,clam,,class
,and,,clan,,glass
,he,,clap,,slack
,a,,flag,,brass
,i,,glad,,crack
,you,,plan,,grass
,it,,slab,,smack
,of,,slam,,stack
,in,,slap,,staff
,was,,brag,,E
,said,,bran,,bless
,his,,brat,,dress
,that,,crab,,press
,she,,cram,,swell
,for,,drab,,dwell
,on,,drag,,spell
,they,,grab,,speck
,but,,grad,,I
,had,,gram,,bliss
,LIST 2,,tram,,cliff
,at,,trap,,chick
,him,,stab,,slick
,with,,swam,,brick
,up,,spat,,drill
,all,,span,,frizz
,look,,spam,,grill
,is,,snap,,skill
,her,,E,,sniff
,there,,bled,,stick
,some,,fled,,trick
,out,,sled,,still
,as,,bred,,flick
,be,,fret,,stiff
,have,,sped,,O
,go,,flex,,block
,we,,I,,clock
,am,,blip,,gloss
,then,,clip,,cross
,little,,flip,,frock
,down,,flit,,smock
,LIST 3,,glib,,stock
,do,,slid,,flock
,can,,slim,,U
,could,,slip,,bluff
,when,,slit,,cluck
,did,,brim,,fluff
,what,,crib,,pluck
,so,,drip,,gruff
,see,,grid,,truck
,not,,grim,,snuff
,were,,grip,,scuff
,get,,grit,,stuck
,them,,prim,,stuff
,like,,trim,,
,one,,trip,,
,this,,swim,,
,my,,twig,,
,would,,twin,,
,me,,spit,,
,will,,spin,,
,yes,,O,,
,LIST 4,,blob,,
,big,,blog,,
,went,,blot,,
,are,,clog,,
,come,,clot,,
,if,,glob,,
,now,,slob,,
,long,,slot,,
,no,,drop,,
,came,,frog,,
,ask,,prod,,
,very,,prom,,
,an,,prop,,
,over,,trot,,
,your,,stop,,
,its,,spot,,
,ride,,blob,,
,into,,U,,
,just,,club,,
,blue,,glum,,
,red,,plug,,
,LIST 5,,plum,,
,from,,slug,,
,good,,crud,,
,any,,drug,,
,about,,drum,,
,around,,grub,,
,want,,spud,,
,don't,,spun,,
,how,,,,
,know,,,,
,right,,,,
,put,,,,
,too,,,,
,got,,,,
,take,,,,
,where,,,,
,every,,,,
,pretty,,,,
,jump,,,,
,green,,,,
,four,,,,
,LIST 6,,,,
,away,,,,
,old,,,,
,by,,,,
,their,,,,
,here,,,,
,saw,,,,
,call,,,,
,after,,,,
,well,,,,
,think,,,,
,ran,,,,
,let,,,,
,help,,,,
,make,,,,
,going,,,,
,sleep,,,,
,brown,,,,
,yellow,,,,
,five,,,,
,six,,,,
,LIST 7,,,,
,walk,,,,
,two,,,,
,or,,,,
,before,,,,
,eat,,,,
,again,,,,
,play,,,,
,who,,,,
,been,,,,
,may,,,,
,stop,,,,
,off,,,,
,never,,,,
,seven,,,,
,eight,,,,
,cold,,,,
,today,,,,
,fly,,,,
,myself,,,,
,round,,,,
,LIST 8,,,,
,tell,,,,
,much,,,,
,keep,,,,
,give,,,,
,work,,,,
,first,,,,
,try,,,,
,new,,,,
,must,,,,
,start,,,,
,black,,,,
,white,,,,
,ten,,,,
,does,,,,
,bring,,,,
,goes,,,,
,write,,,,
,always,,,,
,drink,,,,
,once,,,,
,LIST 9,,,,
,soon,,,,
,made,,,,
,run,,,,
,gave,,,,
,open,,,,
,has,,,,
,find,,,,
,only,,,,
,us,,,,
,three,,,,
,our,,,,
,better,,,,
,hold,,,,
,buy,,,,
,funny,,,,
,warm,,,,
,ate,,,,
,full,,,,
,those,,,,
,done,,,,
,LIST 10,,,,
,use,,,,
,fast,,,,
,say,,,,
,light,,,,
,pick,,,,
,hurt,,,,
,pull,,,,
,cut,,,,
,kind,,,,
,both,,,,
,sit,,,,
,which,,,,
,fall,,,,
,carry,,,,
,small,,,,
,under,,,,
,read,,,,
,why,,,,
,own,,,,
,found,,,,
,LIST 11,,,,
,wash,,,,
,show,,,,
,hot,,,,
,because,,,,
,far,,,,
,live,,,,
,draw,,,,
,clean,,,,
,grow,,,,
,best,,,,
,upon,,,,
,these,,,,
,sing,,,,
,together,,,,
,please,,,,
,thank,,,,
,wish,,,,
,many,,,,
,shall,,,,
,laugh,,,,
